power_of_2;time_traversing_list;time_per_node;
5;2.14577e-07;6.70552e-09;
6;4.76837e-07;7.45058e-09;
7;9.34601e-07;7.30157e-09;
8;1.85966e-06;7.26432e-09;
9;3.70026e-06;7.22706e-09;
10;7.32422e-06;7.15256e-09;
11;1.47247e-05;7.18981e-09;
12;2.94495e-05;7.18981e-09;
13;5.92041e-05;7.22706e-09;
14;0.000170288;1.03936e-08;
15;0.000400391;1.2219e-08;
16;0.000917969;1.40071e-08;
17;0.00245117;1.8701e-08;
18;0.00572266;2.18302e-08;
19;0.0127344;2.42889e-08;
20;0.0447266;4.26546e-08;
21;0.153359;7.31274e-08;
22;0.369531;8.81031e-08;
23;0.798438;9.51812e-08;
24;1.69813;1.01216e-07;
25;3.59375;1.07102e-07;
26;7.6675;1.14255e-07;
27;16.165;1.20439e-07;
28;35.94;1.33887e-07;
