power_of_2;time_traversing_list;time_per_node;
5;2.24113e-07;7.00355e-09;
6;4.76837e-07;7.45058e-09;
7;9.39369e-07;7.33882e-09;
8;1.85013e-06;7.22706e-09;
9;3.68118e-06;7.18981e-09;
10;7.40051e-06;7.22706e-09;
11;1.47247e-05;7.18981e-09;
12;2.92969e-05;7.15256e-09;
13;5.88989e-05;7.18981e-09;
14;0.000126343;7.71135e-09;
15;0.000441895;1.34856e-08;
16;0.000900879;1.37463e-08;
17;0.00260742;1.98931e-08;
18;0.00632813;2.41399e-08;
19;0.0128906;2.45869e-08;
20;0.0373438;3.56138e-08;
21;0.152969;7.29412e-08;
22;0.334531;7.97585e-08;
