power_of_2;time_traversing_list;time_per_node;
5;3.09944e-07;9.68575e-09;
6;5.8651e-07;9.16421e-09;
7;1.14441e-06;8.9407e-09;
8;2.26974e-06;8.86619e-09;
9;4.53949e-06;8.86619e-09;
10;9.11713e-06;8.90344e-09;
11;1.80817e-05;8.82894e-09;
12;3.63159e-05;8.86619e-09;
13;7.35474e-05;8.97795e-09;
14;0.000148315;9.05246e-09;
15;0.00029541;9.0152e-09;
16;0.000598145;9.12696e-09;
17;0.0012207;9.31323e-09;
18;0.0024707;9.42498e-09;
19;0.00492188;9.38773e-09;
20;0.00992188;9.46224e-09;
21;0.0196875;9.38773e-09;
22;0.0396875;9.46224e-09;
23;0.0803125;9.574e-09;
24;0.1575;9.38773e-09;
25;0.315;9.38773e-09;
26;0.635;9.46224e-09;
27;1.265;9.42498e-09;
28;11.34;4.22448e-08;
